#TimeIteration Time SubCycles NewtonSteps Drag CrossFlowLift Lift
0 0.000000e+00 0 0   3.746589e+00  9.523649e-02  3.418299e+01
1 5.000000e-04 1 1   3.760041e+00  9.455304e-02  3.454383e+01
2 1.500000e-03 1 2   3.657334e+00  9.525248e-02  3.171670e+01
3 2.500000e-03 1 2   3.684500e+00  9.352368e-02  3.126719e+01
4 3.500000e-03 1 2   3.715307e+00  9.355003e-02  3.138729e+01
5 4.500000e-03 1 2   3.745912e+00  9.413366e-02  3.149229e+01
6 5.500000e-03 1 2   3.755244e+00  9.468385e-02  3.110007e+01
7 6.500000e-03 1 2   3.758301e+00  9.448650e-02  3.057575e+01
8 7.500000e-03 1 2   3.767840e+00  9.332920e-02  3.020031e+01
9 8.500000e-03 1 2   3.785736e+00  9.163819e-02  3.001153e+01
10 9.500000e-03 1 2   3.806533e+00  9.023195e-02  2.989770e+01
11 1.050000e-02 1 2   3.823768e+00  8.982002e-02  2.972952e+01
12 1.150000e-02 1 2   3.834770e+00  9.050963e-02  2.945133e+01
13 1.250000e-02 1 2   3.841687e+00  9.167611e-02  2.910122e+01
14 1.350000e-02 1 2   3.848683e+00  9.235684e-02  2.875985e+01
15 1.450000e-02 1 2   3.858242e+00  9.188390e-02  2.847898e+01
16 1.550000e-02 1 2   3.869725e+00  9.033768e-02  2.824991e+01
17 1.650000e-02 1 2   3.880749e+00  8.847318e-02  2.802733e+01
18 1.750000e-02 1 2   3.889476e+00  8.719931e-02  2.777374e+01
19 1.850000e-02 1 2   3.895703e+00  8.700710e-02  2.748254e+01
20 1.950000e-02 1 2   3.900395e+00  8.766357e-02  2.717025e+01
21 2.050000e-02 1 2   3.904550e+00  8.844030e-02  2.685499e+01
22 2.150000e-02 1 2   3.908529e+00  8.863142e-02  2.654376e+01
23 2.250000e-02 1 2   3.912107e+00  8.799606e-02  2.623303e+01
24 2.350000e-02 1 2   3.914818e+00  8.684777e-02  2.591449e+01
25 2.450000e-02 1 3   3.916154e+00  8.577113e-02  2.557790e+01
26 2.550000e-02 1 1   3.915736e+00  8.512556e-02  2.521270e+01
27 2.650000e-02 1 1   3.913240e+00  8.506697e-02  2.481302e+01
28 2.750000e-02 1 1   3.909078e+00  8.523336e-02  2.438316e+01
29 2.850000e-02 1 2   3.903961e+00  8.526041e-02  2.393709e+01
30 2.950000e-02 1 1   3.898881e+00  8.479883e-02  2.348864e+01
31 3.050000e-02 1 1   3.893588e+00  8.417066e-02  2.303716e+01
32 3.150000e-02 1 1   3.887486e+00  8.365640e-02  2.256977e+01
33 3.250000e-02 1 2   3.879570e+00  8.344034e-02  2.206782e+01
34 3.350000e-02 1 2   3.869700e+00  8.339105e-02  2.152208e+01
35 3.450000e-02 1 2   3.858142e+00  8.333843e-02  2.093644e+01
36 3.550000e-02 1 2   3.845783e+00  8.306670e-02  2.032554e+01
37 3.650000e-02 1 2   3.833412e+00  8.251098e-02  1.970253e+01
38 3.750000e-02 1 2   3.821242e+00  8.182097e-02  1.906998e+01
39 3.850000e-02 1 2   3.808981e+00  8.124611e-02  1.842107e+01
40 3.950000e-02 1 2   3.796232e+00  8.096361e-02  1.774736e+01
41 4.050000e-02 1 1   3.783102e+00  8.096260e-02  1.704549e+01
42 4.150000e-02 1 1   3.769189e+00  8.109899e-02  1.631495e+01
43 4.250000e-02 1 2   3.754646e+00  8.111186e-02  1.555842e+01
44 4.350000e-02 1 2   3.740394e+00  8.084262e-02  1.478105e+01
45 4.450000e-02 1 2   3.726356e+00  8.032200e-02  1.398378e+01
46 4.550000e-02 1 2   3.712711e+00  7.967519e-02  1.317018e+01
47 4.650000e-02 1 2   3.699658e+00  7.912482e-02  1.234585e+01
48 4.750000e-02 1 2   3.687266e+00  7.884260e-02  1.151389e+01
49 4.850000e-02 1 2   3.675440e+00  7.884873e-02  1.067229e+01
50 4.950000e-02 1 2   3.663993e+00  7.903008e-02  9.815321e+00
51 5.050000e-02 1 2   3.652866e+00  7.918583e-02  8.939744e+00
52 5.150000e-02 1 2   3.642219e+00  7.914178e-02  8.048801e+00
53 5.250000e-02 1 2   3.632346e+00  7.885158e-02  7.150976e+00
54 5.350000e-02 1 2   3.623479e+00  7.842212e-02  6.254418e+00
55 5.450000e-02 1 2   3.615641e+00  7.803166e-02  5.361851e+00
56 5.550000e-02 1 2   3.608676e+00  7.783830e-02  4.470342e+00
57 5.650000e-02 1 2   3.602416e+00  7.788613e-02  3.575702e+00
58 5.750000e-02 1 1   3.597390e+00  7.809406e-02  2.676806e+00
59 5.850000e-02 1 1   3.592604e+00  7.825736e-02  1.779452e+00
60 5.950000e-02 1 1   3.588718e+00  7.827759e-02  8.895919e-01
61 6.050000e-02 1 1   3.585821e+00  7.816609e-02  1.165461e-02
62 6.150000e-02 1 1   3.583794e+00  7.798114e-02 -8.554622e-01
63 6.250000e-02 1 1   3.582544e+00  7.782017e-02 -1.714276e+00
64 6.350000e-02 1 1   3.582004e+00  7.777718e-02 -2.566417e+00
65 6.450000e-02 1 1   3.582199e+00  7.782645e-02 -3.409857e+00
66 6.550000e-02 1 1   3.583192e+00  7.789795e-02 -4.239871e+00
67 6.650000e-02 1 1   3.585012e+00  7.792351e-02 -5.052448e+00
68 6.750000e-02 1 1   3.587638e+00  7.787754e-02 -5.846081e+00
69 6.850000e-02 1 1   3.590982e+00  7.779575e-02 -6.622494e+00
70 6.950000e-02 1 1   3.594999e+00  7.771452e-02 -7.383623e+00
71 7.050000e-02 1 1   3.599693e+00  7.766462e-02 -8.129987e+00
72 7.150000e-02 1 1   3.605090e+00  7.763426e-02 -8.860176e+00
73 7.250000e-02 1 1   3.611208e+00  7.759140e-02 -9.572196e+00
74 7.350000e-02 1 1   3.618037e+00  7.751676e-02 -1.026469e+01
75 7.450000e-02 1 1   3.625537e+00  7.740210e-02 -1.093773e+01
76 7.550000e-02 1 1   3.633667e+00  7.725815e-02 -1.159220e+01
77 7.650000e-02 1 1   3.642421e+00  7.710835e-02 -1.222890e+01
78 7.750000e-02 1 1   3.651807e+00  7.695499e-02 -1.284819e+01
79 7.850000e-02 1 1   3.661858e+00  7.678929e-02 -1.345072e+01
80 7.950000e-02 1 1   3.672571e+00  7.660958e-02 -1.403725e+01
81 8.050000e-02 1 1   3.683953e+00  7.640731e-02 -1.460962e+01
82 8.150000e-02 1 1   3.696016e+00  7.617635e-02 -1.516955e+01
83 8.250000e-02 1 1   3.708762e+00  7.592980e-02 -1.571803e+01
84 8.350000e-02 1 1   3.722204e+00  7.566858e-02 -1.625544e+01
85 8.450000e-02 1 1   3.736362e+00  7.539979e-02 -1.678180e+01
86 8.550000e-02 1 1   3.751266e+00  7.512135e-02 -1.729801e+01
87 8.650000e-02 1 1   3.766936e+00  7.484038e-02 -1.780550e+01
88 8.750000e-02 1 1   3.783397e+00  7.456271e-02 -1.830637e+01
89 8.850000e-02 1 1   3.800683e+00  7.428167e-02 -1.880261e+01
90 8.950000e-02 1 1   3.818834e+00  7.398594e-02 -1.929574e+01
91 9.050000e-02 1 1   3.837864e+00  7.367701e-02 -1.978578e+01
92 9.150000e-02 1 1   3.857771e+00  7.336410e-02 -2.027258e+01
93 9.250000e-02 1 1   3.878562e+00  7.303789e-02 -2.075625e+01
94 9.350000e-02 1 1   3.900253e+00  7.269507e-02 -2.123780e+01
95 9.450000e-02 1 1   3.922857e+00  7.234670e-02 -2.171812e+01
96 9.550000e-02 1 1   3.946396e+00  7.198281e-02 -2.219823e+01
97 9.650000e-02 1 1   3.970891e+00  7.160654e-02 -2.267877e+01
98 9.750000e-02 1 1   3.996352e+00  7.122291e-02 -2.315997e+01
99 9.850000e-02 1 1   4.022797e+00  7.083404e-02 -2.364197e+01
100 9.950000e-02 1 1   4.050245e+00  7.044472e-02 -2.412502e+01
101 1.005000e-01 1 1   4.078736e+00  7.003964e-02 -2.460999e+01
102 1.015000e-01 1 1   4.108288e+00  6.963067e-02 -2.509719e+01
103 1.025000e-01 1 1   4.138927e+00  6.921404e-02 -2.558638e+01
104 1.035000e-01 1 1   4.170687e+00  6.878783e-02 -2.607752e+01
105 1.045000e-01 1 2   4.203376e+00  6.840018e-02 -2.657001e+01
106 1.055000e-01 1 1   4.237683e+00  6.794794e-02 -2.706499e+01
107 1.065000e-01 1 1   4.273048e+00  6.753586e-02 -2.756242e+01
108 1.075000e-01 1 1   4.309696e+00  6.713091e-02 -2.806262e+01
109 1.085000e-01 1 1   4.347711e+00  6.672049e-02 -2.856575e+01
110 1.095000e-01 1 1   4.387117e+00  6.632096e-02 -2.907108e+01
111 1.105000e-01 1 1   4.427926e+00  6.592238e-02 -2.957781e+01
112 1.115000e-01 1 1   4.470165e+00  6.552872e-02 -3.008531e+01
113 1.125000e-01 1 1   4.513866e+00  6.514093e-02 -3.059345e+01
114 1.135000e-01 1 1   4.559054e+00  6.475466e-02 -3.110213e+01
115 1.145000e-01 1 1   4.605749e+00  6.437181e-02 -3.161093e+01
116 1.155000e-01 1 1   4.653941e+00  6.399061e-02 -3.211892e+01
117 1.165000e-01 1 1   4.703620e+00  6.359324e-02 -3.262559e+01
118 1.175000e-01 1 1   4.754727e+00  6.321104e-02 -3.312917e+01
119 1.185000e-01 1 1   4.807233e+00  6.281987e-02 -3.362935e+01
120 1.195000e-01 1 1   4.861082e+00  6.243068e-02 -3.412523e+01
121 1.205000e-01 1 1   4.916200e+00  6.203919e-02 -3.461574e+01
122 1.215000e-01 1 2   4.972311e+00  6.169624e-02 -3.509978e+01
123 1.225000e-01 1 1   5.029853e+00  6.126076e-02 -3.557560e+01
124 1.235000e-01 1 2   5.088016e+00  6.087841e-02 -3.604377e+01
125 1.245000e-01 1 1   5.147311e+00  6.041489e-02 -3.650103e+01
126 1.255000e-01 1 1   5.207110e+00  5.994038e-02 -3.694760e+01
127 1.265000e-01 1 1   5.267392e+00  5.947219e-02 -3.738193e+01
128 1.275000e-01 1 2   5.327837e+00  5.905317e-02 -3.780303e+01
129 1.285000e-01 1 2   5.388551e+00  5.861721e-02 -3.820868e+01
130 1.295000e-01 1 2   5.449154e+00  5.814141e-02 -3.859775e+01
131 1.305000e-01 1 2   5.509436e+00  5.762411e-02 -3.896943e+01
132 1.315000e-01 1 2   5.569173e+00  5.708101e-02 -3.932257e+01
133 1.325000e-01 1 2   5.628116e+00  5.651090e-02 -3.965583e+01
134 1.335000e-01 1 1   5.686128e+00  5.590420e-02 -3.996743e+01
135 1.345000e-01 1 1   5.742728e+00  5.524946e-02 -4.025752e+01
136 1.355000e-01 1 1   5.797782e+00  5.461389e-02 -4.052438e+01
137 1.365000e-01 1 2   5.850928e+00  5.399572e-02 -4.076698e+01
138 1.375000e-01 1 2   5.902072e+00  5.339807e-02 -4.098284e+01
139 1.385000e-01 1 1   5.950958e+00  5.273549e-02 -4.117136e+01
140 1.395000e-01 1 1   5.997206e+00  5.197664e-02 -4.133309e+01
141 1.405000e-01 1 1   6.040686e+00  5.119933e-02 -4.146690e+01
142 1.415000e-01 1 1   6.081112e+00  5.042728e-02 -4.157108e+01
143 1.425000e-01 1 1   6.118255e+00  4.963215e-02 -4.164459e+01
144 1.435000e-01 1 1   6.151940e+00  4.880515e-02 -4.168691e+01
145 1.445000e-01 1 1   6.181999e+00  4.797422e-02 -4.169746e+01
