#TimeIteration Time SubCycles NewtonSteps Drag CrossFlowLift Lift
0 0.000000e+00 0 0   5.389539e+00  1.463779e-01  5.502858e+01
1 5.000000e-04 1 1   5.401634e+00  1.455354e-01  5.544772e+01
2 1.500000e-03 1 2   5.264725e+00  1.457784e-01  5.095098e+01
3 2.500000e-03 1 2   5.303750e+00  1.431694e-01  4.988141e+01
4 3.500000e-03 1 2   5.374866e+00  1.431809e-01  5.013392e+01
5 4.500000e-03 1 1   5.440182e+00  1.446429e-01  5.032184e+01
6 5.500000e-03 1 1   5.464719e+00  1.459432e-01  4.956884e+01
7 6.500000e-03 1 1   5.477974e+00  1.455025e-01  4.858171e+01
8 7.500000e-03 1 2   5.504351e+00  1.429168e-01  4.790713e+01
9 8.500000e-03 1 2   5.548092e+00  1.391014e-01  4.762019e+01
10 9.500000e-03 1 2   5.598174e+00  1.360383e-01  4.749754e+01
11 1.050000e-02 1 3   5.641521e+00  1.352505e-01  4.728171e+01
12 1.150000e-02 1 2   5.672458e+00  1.368659e-01  4.685931e+01
13 1.250000e-02 1 3   5.695089e+00  1.394411e-01  4.630208e+01
14 1.350000e-02 1 2   5.717891e+00  1.408408e-01  4.576850e+01
15 1.450000e-02 1 2   5.746149e+00  1.396805e-01  4.536227e+01
16 1.550000e-02 1 2   5.778823e+00  1.362303e-01  4.506851e+01
17 1.650000e-02 1 2   5.811135e+00  1.322008e-01  4.479876e+01
18 1.750000e-02 1 2   5.839105e+00  1.295808e-01  4.447704e+01
19 1.850000e-02 1 2   5.861986e+00  1.293284e-01  4.408705e+01
20 1.950000e-02 1 3   5.881555e+00  1.308116e-01  4.365851e+01
21 2.050000e-02 1 2   5.899930e+00  1.323908e-01  4.322680e+01
22 2.150000e-02 1 3   5.918031e+00  1.325548e-01  4.280699e+01
23 2.250000e-02 1 2   5.935422e+00  1.309131e-01  4.239264e+01
24 2.350000e-02 1 2   5.950865e+00  1.282764e-01  4.196449e+01
25 2.450000e-02 1 2   5.962870e+00  1.259776e-01  4.149825e+01
26 2.550000e-02 1 2   5.970226e+00  1.249036e-01  4.097219e+01
27 2.650000e-02 1 2   5.972656e+00  1.249451e-01  4.037777e+01
28 2.750000e-02 1 2   5.971144e+00  1.252602e-01  3.972725e+01
29 2.850000e-02 1 2   5.967404e+00  1.249826e-01  3.904714e+01
30 2.950000e-02 1 2   5.962622e+00  1.238506e-01  3.835770e+01
31 3.050000e-02 1 3   5.956431e+00  1.223241e-01  3.765388e+01
32 3.150000e-02 1 2   5.947046e+00  1.211205e-01  3.690566e+01
33 3.250000e-02 1 3   5.932572e+00  1.206237e-01  3.607912e+01
34 3.350000e-02 1 2   5.912443e+00  1.206279e-01  3.516098e+01
35 3.450000e-02 1 2   5.887784e+00  1.205098e-01  3.416547e+01
36 3.550000e-02 1 2   5.860524e+00  1.197562e-01  3.312005e+01
37 3.650000e-02 1 2   5.832046e+00  1.183388e-01  3.204295e+01
38 3.750000e-02 1 2   5.802518e+00  1.167367e-01  3.093265e+01
39 3.850000e-02 1 2   5.771229e+00  1.155753e-01  2.977424e+01
40 3.950000e-02 1 2   5.737444e+00  1.151906e-01  2.855380e+01
41 4.050000e-02 1 2   5.700989e+00  1.154280e-01  2.726673e+01
42 4.150000e-02 1 2   5.662270e+00  1.157552e-01  2.591614e+01
43 4.250000e-02 1 2   5.621941e+00  1.156257e-01  2.450651e+01
44 4.350000e-02 1 2   5.580649e+00  1.147932e-01  2.304124e+01
45 4.450000e-02 1 2   5.539001e+00  1.134408e-01  2.152511e+01
46 4.550000e-02 1 2   5.497572e+00  1.120614e-01  1.996605e+01
47 4.650000e-02 1 2   5.456791e+00  1.111562e-01  1.837197e+01
48 4.750000e-02 1 2   5.416810e+00  1.109740e-01  1.674500e+01
49 4.850000e-02 1 2   5.377531e+00  1.113956e-01  1.507953e+01
50 4.950000e-02 1 2   5.338880e+00  1.120217e-01  1.336762e+01
51 5.050000e-02 2 3   5.341874e+00  1.128794e-01  1.259452e+01
52 5.150000e-02 2 2   5.297259e+00  1.129287e-01  1.058077e+01
53 5.250000e-02 1 2   5.209095e+00  1.112820e-01  7.422352e+00
54 5.350000e-02 1 3   5.197387e+00  1.109756e-01  6.047499e+00
55 5.450000e-02 1 2   5.174222e+00  1.103400e-01  4.353294e+00
56 5.550000e-02 1 2   5.148196e+00  1.104919e-01  2.486272e+00
57 5.650000e-02 1 2   5.122520e+00  1.113874e-01  5.225110e-01
58 5.750000e-02 1 2   5.100987e+00  1.124766e-01 -1.434227e+00
59 5.850000e-02 1 2   5.084768e+00  1.132197e-01 -3.352488e+00
60 5.950000e-02 1 2   5.073246e+00  1.134176e-01 -5.242379e+00
61 6.050000e-02 1 2   5.065274e+00  1.132661e-01 -7.126425e+00
62 6.150000e-02 1 1   5.061881e+00  1.132331e-01 -9.019457e+00
63 6.250000e-02 1 1   5.060335e+00  1.135973e-01 -1.091947e+01
64 6.350000e-02 1 2   5.061309e+00  1.143962e-01 -1.281452e+01
65 6.450000e-02 1 2   5.068313e+00  1.154785e-01 -1.469338e+01
66 6.550000e-02 1 2   5.079605e+00  1.164322e-01 -1.655274e+01
67 6.650000e-02 1 2   5.094707e+00  1.170428e-01 -1.839098e+01
68 6.750000e-02 1 2   5.113489e+00  1.174164e-01 -2.020410e+01
69 6.850000e-02 1 2   5.136059e+00  1.177695e-01 -2.198704e+01
70 6.950000e-02 1 2   5.162542e+00  1.182740e-01 -2.373811e+01
71 7.050000e-02 1 2   5.192895e+00  1.189515e-01 -2.546030e+01
72 7.150000e-02 1 3   5.226939e+00  1.196946e-01 -2.715711e+01
73 7.250000e-02 1 2   5.264479e+00  1.203547e-01 -2.882750e+01
74 7.350000e-02 1 2   5.305349e+00  1.208509e-01 -3.046533e+01
75 7.450000e-02 1 1   5.350512e+00  1.212007e-01 -3.206428e+01
76 7.550000e-02 1 1   5.397490e+00  1.215057e-01 -3.362012e+01
77 7.650000e-02 1 2   5.446214e+00  1.218356e-01 -3.513452e+01
78 7.750000e-02 1 2   5.498819e+00  1.221881e-01 -3.661315e+01
79 7.850000e-02 1 1   5.555241e+00  1.224906e-01 -3.805946e+01
80 7.950000e-02 1 2   5.612489e+00  1.227254e-01 -3.947267e+01
81 8.050000e-02 1 2   5.673485e+00  1.227809e-01 -4.085588e+01
82 8.150000e-02 1 2   5.737163e+00  1.227352e-01 -4.220817e+01
83 8.250000e-02 1 2   5.803209e+00  1.225810e-01 -4.352735e+01
84 8.350000e-02 1 2   5.871556e+00  1.223522e-01 -4.481213e+01
85 8.450000e-02 1 2   5.942293e+00  1.220673e-01 -4.606309e+01
86 8.550000e-02 1 2   6.015612e+00  1.217225e-01 -4.728372e+01
87 8.650000e-02 1 2   6.091718e+00  1.213014e-01 -4.847989e+01
88 8.750000e-02 1 2   6.170741e+00  1.207898e-01 -4.965686e+01
89 8.850000e-02 1 2   6.252685e+00  1.201862e-01 -5.081609e+01
90 8.950000e-02 1 2   6.337473e+00  1.194822e-01 -5.195491e+01
91 9.050000e-02 1 2   6.425039e+00  1.186744e-01 -5.306984e+01
92 9.150000e-02 1 2   6.515424e+00  1.177598e-01 -5.416037e+01
93 9.250000e-02 1 2   6.608807e+00  1.167363e-01 -5.523033e+01
94 9.350000e-02 1 3   6.705434e+00  1.155914e-01 -5.628578e+01
95 9.450000e-02 1 2   6.805483e+00  1.143453e-01 -5.733018e+01
96 9.550000e-02 1 2   6.909046e+00  1.129890e-01 -5.836452e+01
97 9.650000e-02 1 2   7.016064e+00  1.115659e-01 -5.938556e+01
98 9.750000e-02 1 2   7.126526e+00  1.100656e-01 -6.039213e+01
99 9.850000e-02 1 2   7.240518e+00  1.084596e-01 -6.138556e+01
100 9.950000e-02 1 2   7.358220e+00  1.067337e-01 -6.236919e+01
101 1.005000e-01 1 2   7.479830e+00  1.048868e-01 -6.334608e+01
102 1.015000e-01 1 2   7.605487e+00  1.029140e-01 -6.431727e+01
103 1.025000e-01 1 2   7.735222e+00  1.008728e-01 -6.528167e+01
104 1.035000e-01 1 2   7.869114e+00  9.876748e-02 -6.623910e+01
105 1.045000e-01 1 2   8.007242e+00  9.663752e-02 -6.719010e+01
106 1.055000e-01 1 2   8.149781e+00  9.445307e-02 -6.813668e+01
107 1.065000e-01 1 2   8.296887e+00  9.219773e-02 -6.908038e+01
